##File Type: Far field
##File Format: 5
##Source: dipole
##Date: 2019-03-14 10:59:10
** File exported by POSTFEKO version 2018-319328 (x64)

#Configuration Name: StandardConfiguration1
#Request Name: FarField1
#Frequency: 8.66000000E+08
#Coordinate System: Spherical
#No. of Theta Samples: 73
#No. of Phi Samples: 37
#Result Type: Gain
#No. of Header Lines: 1
                 "Theta"           "Phi"             "Re(Etheta)"      "Im(Etheta)"      "Re(Ephi)"        "Im(Ephi)"        "Gain(Theta)"     "Gain(Phi)"       "Gain(Total)"     
                  -1.80000000E+02    0.00000000E+00   -3.24614777E-17   -5.63547588E-17    0.00000000E+00    0.00000000E+00   -3.18308578E+02   -1.00000000E+03   -3.18308578E+02   
                  -1.75000000E+02    0.00000000E+00   -2.31537550E-02   -4.01862214E-02    0.00000000E+00    0.00000000E+00   -2.12451155E+01   -1.00000000E+03   -2.12451155E+01   
                  -1.70000000E+02    0.00000000E+00   -4.64371379E-02   -8.05390411E-02    0.00000000E+00    0.00000000E+00   -1.52049602E+01   -1.00000000E+03   -1.52049602E+01   
                  -1.65000000E+02    0.00000000E+00   -6.99620685E-02   -1.21197798E-01    0.00000000E+00    0.00000000E+00   -1.16526530E+01   -1.00000000E+03   -1.16526530E+01   
                  -1.60000000E+02    0.00000000E+00   -9.38056280E-02   -1.62248197E-01    0.00000000E+00    0.00000000E+00   -9.11554128E+00   -1.00000000E+03   -9.11554128E+00   
                  -1.55000000E+02    0.00000000E+00   -1.17994111E-01   -2.03697861E-01    0.00000000E+00    0.00000000E+00   -7.13527067E+00   -1.00000000E+03   -7.13527067E+00   
                  -1.50000000E+02    0.00000000E+00   -1.42489048E-01   -2.45455026E-01    0.00000000E+00    0.00000000E+00   -5.51085218E+00   -1.00000000E+03   -5.51085218E+00   
                  -1.45000000E+02    0.00000000E+00   -1.67176139E-01   -2.87311850E-01    0.00000000E+00    0.00000000E+00   -4.13811362E+00   -1.00000000E+03   -4.13811362E+00   
                  -1.40000000E+02    0.00000000E+00   -1.91858179E-01   -3.28933963E-01    0.00000000E+00    0.00000000E+00   -2.95768459E+00   -1.00000000E+03   -2.95768459E+00   
                  -1.35000000E+02    0.00000000E+00   -2.16253078E-01   -3.69857924E-01    0.00000000E+00    0.00000000E+00   -1.93379059E+00   -1.00000000E+03   -1.93379059E+00   
                  -1.30000000E+02    0.00000000E+00   -2.39997959E-01   -4.09498037E-01    0.00000000E+00    0.00000000E+00   -1.04420355E+00   -1.00000000E+03   -1.04420355E+00   
                  -1.25000000E+02    0.00000000E+00   -2.62659994E-01   -4.47163494E-01    0.00000000E+00    0.00000000E+00   -2.74935426E-01   -1.00000000E+03   -2.74935426E-01   
                  -1.20000000E+02    0.00000000E+00   -2.83754115E-01   -4.82086005E-01    0.00000000E+00    0.00000000E+00    3.82801554E-01   -1.00000000E+03    3.82801554E-01   
                  -1.15000000E+02    0.00000000E+00   -3.02767056E-01   -5.13457046E-01    0.00000000E+00    0.00000000E+00    9.34448102E-01   -1.00000000E+03    9.34448102E-01   
                  -1.10000000E+02    0.00000000E+00   -3.19186402E-01   -5.40472658E-01    0.00000000E+00    0.00000000E+00    1.38328154E+00   -1.00000000E+03    1.38328154E+00   
                  -1.05000000E+02    0.00000000E+00   -3.32532545E-01   -5.62382587E-01    0.00000000E+00    0.00000000E+00    1.73119624E+00   -1.00000000E+03    1.73119624E+00   
                  -1.00000000E+02    0.00000000E+00   -3.42390848E-01   -5.78539632E-01    0.00000000E+00    0.00000000E+00    1.97922630E+00   -1.00000000E+03    1.97922630E+00   
                  -9.50000000E+01    0.00000000E+00   -3.48441011E-01   -5.88444604E-01    0.00000000E+00    0.00000000E+00    2.12789352E+00   -1.00000000E+03    2.12789352E+00   
                  -9.00000000E+01    0.00000000E+00   -3.50480639E-01   -5.91782370E-01    0.00000000E+00    0.00000000E+00    2.17742903E+00   -1.00000000E+03    2.17742903E+00   
                  -8.50000000E+01    0.00000000E+00   -3.48440513E-01   -5.88445185E-01    0.00000000E+00    0.00000000E+00    2.12789665E+00   -1.00000000E+03    2.12789665E+00   
                  -8.00000000E+01    0.00000000E+00   -3.42389876E-01   -5.78540768E-01    0.00000000E+00    0.00000000E+00    1.97923254E+00   -1.00000000E+03    1.97923254E+00   
                  -7.50000000E+01    0.00000000E+00   -3.32531144E-01   -5.62384228E-01    0.00000000E+00    0.00000000E+00    1.73120554E+00   -1.00000000E+03    1.73120554E+00   
                  -7.00000000E+01    0.00000000E+00   -3.19184637E-01   -5.40474734E-01    0.00000000E+00    0.00000000E+00    1.38329385E+00   -1.00000000E+03    1.38329385E+00   
                  -6.50000000E+01    0.00000000E+00   -3.02765003E-01   -5.13459469E-01    0.00000000E+00    0.00000000E+00    9.34463333E-01   -1.00000000E+03    9.34463333E-01   
                  -6.00000000E+01    0.00000000E+00   -2.83751860E-01   -4.82088681E-01    0.00000000E+00    0.00000000E+00    3.82819604E-01   -1.00000000E+03    3.82819604E-01   
                  -5.50000000E+01    0.00000000E+00   -2.62657627E-01   -4.47166321E-01    0.00000000E+00    0.00000000E+00   -2.74914682E-01   -1.00000000E+03   -2.74914682E-01   
                  -5.00000000E+01    0.00000000E+00   -2.39995564E-01   -4.09500916E-01    0.00000000E+00    0.00000000E+00   -1.04418026E+00   -1.00000000E+03   -1.04418026E+00   
                  -4.50000000E+01    0.00000000E+00   -2.16250734E-01   -3.69860762E-01    0.00000000E+00    0.00000000E+00   -1.93376491E+00   -1.00000000E+03   -1.93376491E+00   
                  -4.00000000E+01    0.00000000E+00   -1.91855956E-01   -3.28936675E-01    0.00000000E+00    0.00000000E+00   -2.95765671E+00   -1.00000000E+03   -2.95765671E+00   
                  -3.50000000E+01    0.00000000E+00   -1.67174096E-01   -2.87314362E-01    0.00000000E+00    0.00000000E+00   -4.13808375E+00   -1.00000000E+03   -4.13808375E+00   
                  -3.00000000E+01    0.00000000E+00   -1.42487231E-01   -2.45457277E-01    0.00000000E+00    0.00000000E+00   -5.51082053E+00   -1.00000000E+03   -5.51082053E+00   
