##File Type: Far field
##File Format: 5
##Source: dipole
##Date: 2019-03-18 11:10:03
** File exported by POSTFEKO version 2018-319328 (x64)

#Configuration Name: StandardConfiguration1
#Request Name: FarField1
#Frequency: 8.66000000E+08
#Coordinate System: Spherical
#No. of Theta Samples: 73
#No. of Phi Samples: 37
#Result Type: Gain
#No. of Header Lines: 1
                 "Theta"           "Phi"             "Re(Etheta)"      "Im(Etheta)"      "Re(Ephi)"        "Im(Ephi)"        "Gain(Theta)"     "Gain(Phi)"       "Gain(Total)"     
                  -1.80000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480038E-01    5.91782190E-01   -1.00000000E+03    2.17742321E+00    2.17742321E+00   
                  -1.75000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480157E-01    5.91782240E-01   -1.00000000E+03    2.17742451E+00    2.17742451E+00   
                  -1.70000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480353E-01    5.91782290E-01   -1.00000000E+03    2.17742632E+00    2.17742632E+00   
                  -1.65000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480544E-01    5.91782322E-01   -1.00000000E+03    2.17742789E+00    2.17742789E+00   
                  -1.60000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480656E-01    5.91782329E-01   -1.00000000E+03    2.17742869E+00    2.17742869E+00   
                  -1.55000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480647E-01    5.91782320E-01   -1.00000000E+03    2.17742854E+00    2.17742854E+00   
                  -1.50000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480529E-01    5.91782307E-01   -1.00000000E+03    2.17742764E+00    2.17742764E+00   
                  -1.45000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480362E-01    5.91782298E-01   -1.00000000E+03    2.17742646E+00    2.17742646E+00   
                  -1.40000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480220E-01    5.91782295E-01   -1.00000000E+03    2.17742552E+00    2.17742552E+00   
                  -1.35000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480166E-01    5.91782297E-01   -1.00000000E+03    2.17742519E+00    2.17742519E+00   
                  -1.30000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480216E-01    5.91782300E-01   -1.00000000E+03    2.17742555E+00    2.17742555E+00   
                  -1.25000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480340E-01    5.91782306E-01   -1.00000000E+03    2.17742641E+00    2.17742641E+00   
                  -1.20000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480476E-01    5.91782312E-01   -1.00000000E+03    2.17742735E+00    2.17742735E+00   
                  -1.15000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480560E-01    5.91782317E-01   -1.00000000E+03    2.17742794E+00    2.17742794E+00   
                  -1.10000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480556E-01    5.91782314E-01   -1.00000000E+03    2.17742789E+00    2.17742789E+00   
                  -1.05000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480473E-01    5.91782300E-01   -1.00000000E+03    2.17742720E+00    2.17742720E+00   
                  -1.00000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480357E-01    5.91782276E-01   -1.00000000E+03    2.17742620E+00    2.17742620E+00   
                  -9.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480268E-01    5.91782255E-01   -1.00000000E+03    2.17742539E+00    2.17742539E+00   
                  -9.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480249E-01    5.91782252E-01   -1.00000000E+03    2.17742524E+00    2.17742524E+00   
                  -8.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480304E-01    5.91782279E-01   -1.00000000E+03    2.17742589E+00    2.17742589E+00   
                  -8.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480400E-01    5.91782332E-01   -1.00000000E+03    2.17742708E+00    2.17742708E+00   
                  -7.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480485E-01    5.91782388E-01   -1.00000000E+03    2.17742823E+00    2.17742823E+00   
                  -7.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480515E-01    5.91782413E-01   -1.00000000E+03    2.17742870E+00    2.17742870E+00   
                  -6.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480481E-01    5.91782386E-01   -1.00000000E+03    2.17742819E+00    2.17742819E+00   
                  -6.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480405E-01    5.91782309E-01   -1.00000000E+03    2.17742687E+00    2.17742687E+00   
                  -5.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480331E-01    5.91782216E-01   -1.00000000E+03    2.17742538E+00    2.17742538E+00   
                  -5.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480294E-01    5.91782157E-01   -1.00000000E+03    2.17742449E+00    2.17742449E+00   
                  -4.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480304E-01    5.91782169E-01   -1.00000000E+03    2.17742469E+00    2.17742469E+00   
                  -4.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480345E-01    5.91782259E-01   -1.00000000E+03    2.17742593E+00    2.17742593E+00   
                  -3.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480387E-01    5.91782386E-01   -1.00000000E+03    2.17742758E+00    2.17742758E+00   
                  -3.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480407E-01    5.91782487E-01   -1.00000000E+03    2.17742880E+00    2.17742880E+00   
                  -2.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480404E-01    5.91782501E-01   -1.00000000E+03    2.17742894E+00    2.17742894E+00   
                  -2.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480393E-01    5.91782407E-01   -1.00000000E+03    2.17742784E+00    2.17742784E+00   
                  -1.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480394E-01    5.91782235E-01   -1.00000000E+03    2.17742598E+00    2.17742598E+00   
                  -1.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480413E-01    5.91782055E-01   -1.00000000E+03    2.17742415E+00    2.17742415E+00   
                  -5.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480440E-01    5.91781945E-01   -1.00000000E+03    2.17742313E+00    2.17742313E+00   
                   0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480451E-01    5.91781953E-01   -1.00000000E+03    2.17742329E+00    2.17742329E+00   
                   5.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480428E-01    5.91782079E-01   -1.00000000E+03    2.17742450E+00    2.17742450E+00   
                   1.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480371E-01    5.91782270E-01   -1.00000000E+03    2.17742622E+00    2.17742622E+00   
                   1.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480304E-01    5.91782451E-01   -1.00000000E+03    2.17742775E+00    2.17742775E+00   
                   2.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480259E-01    5.91782552E-01   -1.00000000E+03    2.17742856E+00    2.17742856E+00   
                   2.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480260E-01    5.91782542E-01   -1.00000000E+03    2.17742846E+00    2.17742846E+00   
                   3.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480311E-01    5.91782436E-01   -1.00000000E+03    2.17742763E+00    2.17742763E+00   
                   3.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480387E-01    5.91782287E-01   -1.00000000E+03    2.17742651E+00    2.17742651E+00   
                   4.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480453E-01    5.91782163E-01   -1.00000000E+03    2.17742559E+00    2.17742559E+00   
                   4.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480479E-01    5.91782116E-01   -1.00000000E+03    2.17742523E+00    2.17742523E+00   
                   5.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480455E-01    5.91782159E-01   -1.00000000E+03    2.17742555E+00    2.17742555E+00   
                   5.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480396E-01    5.91782268E-01   -1.00000000E+03    2.17742636E+00    2.17742636E+00   
                   6.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480335E-01    5.91782389E-01   -1.00000000E+03    2.17742728E+00    2.17742728E+00   
                   6.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480300E-01    5.91782464E-01   -1.00000000E+03    2.17742787E+00    2.17742787E+00   
                   7.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480301E-01    5.91782460E-01   -1.00000000E+03    2.17742784E+00    2.17742784E+00   
                   7.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480331E-01    5.91782382E-01   -1.00000000E+03    2.17742717E+00    2.17742717E+00   
                   8.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480366E-01    5.91782270E-01   -1.00000000E+03    2.17742618E+00    2.17742618E+00   
                   8.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480388E-01    5.91782182E-01   -1.00000000E+03    2.17742537E+00    2.17742537E+00   
                   9.00000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480392E-01    5.91782164E-01   -1.00000000E+03    2.17742520E+00    2.17742520E+00   
                   9.50000000E+01    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480387E-01    5.91782226E-01   -1.00000000E+03    2.17742585E+00    2.17742585E+00   
                   1.00000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480386E-01    5.91782337E-01   -1.00000000E+03    2.17742704E+00    2.17742704E+00   
                   1.05000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480395E-01    5.91782438E-01   -1.00000000E+03    2.17742820E+00    2.17742820E+00   
                   1.10000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480407E-01    5.91782477E-01   -1.00000000E+03    2.17742869E+00    2.17742869E+00   
                   1.15000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480404E-01    5.91782432E-01   -1.00000000E+03    2.17742819E+00    2.17742819E+00   
                   1.20000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480375E-01    5.91782327E-01   -1.00000000E+03    2.17742686E+00    2.17742686E+00   
                   1.25000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480328E-01    5.91782217E-01   -1.00000000E+03    2.17742537E+00    2.17742537E+00   
                   1.30000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480291E-01    5.91782157E-01   -1.00000000E+03    2.17742447E+00    2.17742447E+00   
                   1.35000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480294E-01    5.91782175E-01   -1.00000000E+03    2.17742469E+00    2.17742469E+00   
                   1.40000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480350E-01    5.91782257E-01   -1.00000000E+03    2.17742594E+00    2.17742594E+00   
                   1.45000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480443E-01    5.91782356E-01   -1.00000000E+03    2.17742762E+00    2.17742762E+00   
                   1.50000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480526E-01    5.91782419E-01   -1.00000000E+03    2.17742884E+00    2.17742884E+00   
                   1.55000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480545E-01    5.91782417E-01   -1.00000000E+03    2.17742893E+00    2.17742893E+00   
                   1.60000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480471E-01    5.91782354E-01   -1.00000000E+03    2.17742778E+00    2.17742778E+00   
                   1.65000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480321E-01    5.91782266E-01   -1.00000000E+03    2.17742585E+00    2.17742585E+00   
